Symbol,Point Gain,Percentage Gain
*IBEX 35,-203.2,-1.55
*FTSE,-113.51,-1.32
*DAX,-285.66,-1.26
*CAC,-114.94,-1.43
*STOXX600,-9.39,-1.72
