Symbol,Point Gain,Percentage Gain
*SHANGHAI,+13.67,+0.42
*NIKKEI,-235.16,-0.64
*HSI,-1.35,-0.01
*SHENZHEN,+35.46,+0.33
*KOSPI,-32.79,-1.28
