Symbol,Point Gain,Percentage Gain
CONS DISC,-11.23,-0.71
CONS STPL,-5.61,-0.62
ENERGY,-5.67,-0.85
FINANCIALS,-8.6,-1.08
HEALTH,-11.72,-0.68
INDUSTRIALS,-16.12,-1.44
MATERIALS,-4.38,-0.81
REAL ESTATE,-0.82,-0.32
TECHNOLOGY,-34.31,-0.84
COMMUNICATION SVS,-2.73,-0.83
UTILITIES,-0.57,-0.15
