Symbol,Point Gain,Percentage Gain
DJIA,-526.01,-1.26
NASDAQ,-156.85,-0.89
S&P 500,-59.31,-1.05
*GOLD,+23.1,+0.8
*OIL,+0.59,+0.89
US 10-YR,-0.017,-0.404
EUR/USD,+0.007,+0.656
VIX,+1.54,+5.5
